epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,23823.984375,0.001,23033.6796875,16607.232421875,15817.3974609375
1,13676.880859375,0.001,12886.91796875,13988.4853515625,13198.3974609375
2,10321.7783203125,0.001,9531.4296875,9502.880859375,8712.2509765625
3,8296.78515625,0.001,7505.9326171875,9400.03125,8608.892578125
4,6891.86767578125,0.001,6100.41748046875,7995.00830078125,7203.21630859375
5,5816.64697265625,0.001,5024.666015625,6664.8251953125,5872.5283203125
6,5171.6279296875,0.001,4379.10986328125,6289.49853515625,5496.7138671875
7,4681.30517578125,0.001,3888.2626953125,7197.60498046875,6404.25634765625
8,4154.212890625,0.001,3360.63134765625,6814.08447265625,6020.28759765625
9,4017.788330078125,0.001,3223.759765625,5760.7587890625,4966.4033203125
10,3670.870361328125,0.001,2876.37353515625,6377.65625,5582.9423828125
11,3398.31494140625,0.001,2603.3779296875,5610.392578125,4815.19580078125
12,3245.8291015625,0.001,2450.36083984375,6222.900390625,5427.18896484375
13,3256.91552734375,0.001,2461.109130859375,5566.697265625,4770.7783203125
14,3152.796875,0.001,2356.5869140625,5389.0087890625,4592.58251953125
15,3006.486328125,0.001,2209.80908203125,5565.80517578125,4768.91455078125
16,2915.474365234375,0.001,2118.412841796875,5807.482421875,5010.24462890625
17,2709.0390625,0.001,1911.651123046875,5270.37890625,4472.82763671875
18,2731.0615234375,0.001,1933.2890625,5653.97705078125,4855.96875
19,2716.173828125,0.001,1917.982666015625,5323.9150390625,4525.61865234375
20,2563.0439453125,0.001,1764.5369873046875,5197.3779296875,4398.7470703125
21,2548.06884765625,0.001,1749.3046875,5170.71142578125,4371.68310546875
22,2501.033935546875,0.001,1701.7030029296875,5406.27685546875,4606.72119140625
23,2449.069580078125,0.001,1649.3709716796875,5175.13623046875,4375.1962890625
24,2288.2158203125,0.001,1488.167236328125,5382.96142578125,4582.7373046875
25,2372.77587890625,0.001,1572.3946533203125,5251.62451171875,4451.087890625
26,2241.63427734375,0.001,1440.8587646484375,5127.0400390625,4326.05078125
27,2258.562744140625,0.001,1457.244873046875,5068.5771484375,4266.87646484375
28,2289.3095703125,0.001,1487.25048828125,5121.5654296875,4319.13671875
29,2400.529541015625,0.001,1597.8095703125,5317.50146484375,4514.1767578125
30,2227.228515625,0.001,1423.6895751953125,4922.7861328125,4119.06005859375
31,2171.91552734375,0.001,1367.9222412109375,5743.86865234375,4939.6298828125
32,2052.40087890625,0.001,1248.037353515625,5387.61669921875,4583.16259765625
33,2122.2490234375,0.001,1317.6156005859375,4920.0732421875,4115.1962890625
34,2078.257080078125,0.001,1273.3056640625,5018.46728515625,4213.33544921875
35,2161.907470703125,0.001,1356.45751953125,5039.248046875,4233.46142578125
36,2037.1300048828125,0.001,1231.1695556640625,5247.8369140625,4441.7470703125
37,2001.0439453125,0.001,1194.82080078125,5115.615234375,4309.2041015625
38,2039.2171630859375,0.001,1232.5706787109375,5437.13232421875,4630.30615234375
39,1957.2244873046875,0.001,1150.221435546875,5221.50048828125,4414.32861328125
40,1901.0843505859375,0.001,1093.8719482421875,5095.61962890625,4288.31103515625
41,1857.7327880859375,0.001,1050.33837890625,5168.61865234375,4361.19775390625
42,1841.044677734375,0.001,1033.5491943359375,5131.60009765625,4323.939453125
43,1895.41552734375,0.001,1087.645263671875,4923.82666015625,4115.90380859375
44,1852.685791015625,0.001,1044.7347412109375,4963.51416015625,4155.37353515625
45,1868.0352783203125,0.001,1059.625732421875,5256.5888671875,4447.83056640625
46,1922.770751953125,0.001,1113.767822265625,4976.78173828125,4167.56591796875
47,2003.502197265625,0.001,1193.9051513671875,5077.00634765625,4267.1533203125
48,1992.7537841796875,0.001,1182.56005859375,5162.6025390625,4351.83984375
49,1856.3516845703125,0.001,1045.3853759765625,5305.48486328125,4494.30419921875
50,1913.7889404296875,0.001,1102.30517578125,5117.9423828125,4306.134765625
51,1814.645263671875,0.001,1002.5685424804688,5339.9326171875,4527.48486328125
52,1880.2191162109375,0.001,1067.483642578125,5165.86572265625,4352.90478515625
53,1824.2119140625,0.001,1011.18017578125,5142.91015625,4329.73779296875
54,1810.174072265625,0.001,996.9287719726562,5585.94677734375,4772.43017578125
55,1832.41015625,0.001,1018.4829711914062,4985.5087890625,4171.29541015625
56,1839.3525390625,0.001,1024.912109375,5475.517578125,4660.876953125
57,1788.5592041015625,0.001,973.70166015625,5219.38916015625,4404.36572265625
58,1718.21533203125,0.001,902.9785766601562,5207.7294921875,4392.2158203125
59,1676.5323486328125,0.001,860.8076782226562,5035.154296875,4219.16552734375
