epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,169111.5625,0.001,168735.9375,130424.53125,130078.6171875
1,131611.4375,0.001,131276.234375,203737.421875,203407.625
2,131200.546875,0.001,130846.6796875,130078.796875,129704.4296875
3,124693.6484375,0.001,124295.90625,112836.0234375,112379.921875
4,113461.953125,0.001,112947.59375,109392.5078125,108815.9765625
5,102502.3203125,0.001,101885.7734375,93181.1796875,92522.3828125
6,99698.96875,0.001,99011.1328125,101118.859375,100401.15625
7,97953.15625,0.001,97212.34375,88229.1796875,87462.078125
8,94258.2578125,0.001,93479.2109375,84604.296875,83811.7578125
9,92166.078125,0.001,91358.453125,104496.140625,103670.5
10,88824.9609375,0.001,87976.3203125,90138.6171875,89269.609375
11,88616.7265625,0.001,87728.8984375,80251.65625,79344.7578125
12,83972.2421875,0.001,83056.296875,79290.546875,78355.0234375
13,86577.9375,0.001,85624.578125,78824.7890625,77851.296875
14,84907.359375,0.001,83920.09375,90195.0703125,89191.6015625
15,80491.8828125,0.001,79470.5703125,83765.078125,82721.8671875
16,83172.125,0.001,82107.96875,90191.1875,89105.046875
17,81452.2421875,0.001,80344.4375,84504.8515625,83374.6171875
18,76921.6171875,0.001,75769.6484375,86382.7734375,85210.28125
19,76974.03125,0.001,75780.28125,78709.7421875,77491.2421875
20,78699.2890625,0.001,77447.7421875,70721.34375,69437.59375
21,75971.609375,0.001,74662.4765625,94974.6875,93645.3125
22,70158.3125,0.001,68797.0546875,80815.8984375,79429.7890625
23,71657.3671875,0.001,70243.1328125,71969.5859375,70535.296875
24,70475.6640625,0.001,69012.28125,71045.3828125,69563.6015625
25,67921.0625,0.001,66416.9921875,79222.4765625,77698.703125
26,66462.71875,0.001,64915.17578125,74177.2890625,72601.015625
27,66540.5859375,0.001,64943.64453125,67393.4921875,65772.3125
28,65110.015625,0.001,63465.8359375,85826.1015625,84160.15625
29,65672.2421875,0.001,63976.1484375,72814.1953125,71091.8359375
30,59401.65625,0.001,57654.63671875,68707.8515625,66943.0625
31,59255.6796875,0.001,57472.53515625,69782.5234375,67976.09375
32,58247.578125,0.001,56419.2265625,69218.0078125,67371.8671875
33,57766.140625,0.001,55896.359375,64384.73828125,62492.6953125
34,57913.390625,0.001,56004.3203125,63724.03515625,61794.296875
35,56488.3359375,0.001,54534.23046875,84065.171875,82093.921875
36,53521.6953125,0.001,51525.4140625,75614.5078125,73598.8515625
37,53692.90625,0.001,51654.67578125,64031.05859375,61975.69140625
38,51191.109375,0.001,49119.2890625,69756.2734375,67671.3828125
39,50602.03515625,0.001,48494.53125,71080.3046875,68955.703125
40,48740.91015625,0.001,46598.56640625,67150.09375,64990.9453125
41,49967.26171875,0.001,47785.4296875,63850.59375,61646.0234375
42,46724.78515625,0.001,44499.68359375,63320.32421875,61077.8359375
43,47222.51953125,0.001,44962.08984375,67808.25,65529.046875
44,47667.59375,0.001,45360.3984375,62459.0234375,60130.4140625
45,46727.83984375,0.001,44384.76171875,68783.65625,66422.3515625
46,46441.31640625,0.001,44059.109375,61274.94921875,58873.09375
47,43498.0390625,0.001,41079.80078125,62326.7109375,59881.390625
48,42497.8359375,0.001,40027.578125,62664.87890625,60168.63671875
49,41622.05078125,0.001,39105.1796875,62292.21484375,59747.921875
50,41541.4765625,0.001,38961.98828125,64830.69921875,62221.7109375
51,40298.73828125,0.001,37660.18359375,75865.71875,73196.8125
52,40194.71484375,0.001,37484.23828125,68306.8828125,65564.7734375
53,37628.3828125,0.001,34855.25,69170.140625,66360.796875
54,36251.1015625,0.001,33408.91796875,76114.3984375,73239.421875
