epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,182892.1875,0.001,182512.015625,145417.0,145055.84375
1,135384.296875,0.001,134992.40625,134242.515625,133791.375
2,116300.671875,0.001,115789.9921875,125896.6328125,125329.2734375
3,93496.5234375,0.001,92887.0234375,104601.6171875,103961.3671875
4,80789.21875,0.001,80113.296875,82476.078125,81773.1640625
5,72088.65625,0.001,71364.0703125,70863.296875,70118.7421875
6,69070.1015625,0.001,68312.15625,64114.83984375,63336.44921875
7,64533.12890625,0.001,63734.61328125,62125.453125,61311.9453125
8,60160.31640625,0.001,59337.421875,69558.640625,68728.9140625
9,59759.5703125,0.001,58918.23828125,60946.11328125,60094.703125
10,59157.09375,0.001,58293.3515625,59451.2265625,58576.140625
11,55895.875,0.001,55010.078125,57686.21484375,56786.93359375
12,55378.67578125,0.001,54469.6796875,61925.921875,61005.76953125
13,55133.78515625,0.001,54201.37109375,62303.03125,61355.94140625
14,53648.61328125,0.001,52686.375,63380.7890625,62409.05859375
15,53145.62109375,0.001,52161.53515625,57182.0859375,56180.359375
16,52420.98046875,0.001,51409.99609375,53305.12109375,52282.25390625
17,51473.6640625,0.001,50440.07421875,54680.93359375,53631.94140625
18,49522.1640625,0.001,48460.3359375,59597.39453125,58526.796875
19,51348.67578125,0.001,50265.55859375,57145.87890625,56045.44140625
20,48872.08984375,0.001,47756.4453125,55106.0703125,53971.99609375
21,47918.55078125,0.001,46775.328125,71594.5078125,70440.046875
22,48081.1953125,0.001,46904.6640625,52490.73046875,51297.91015625
23,47468.796875,0.001,46259.7109375,62249.171875,61019.00390625
24,46638.25390625,0.001,45389.8046875,54842.53515625,53579.94140625
25,47139.15625,0.001,45858.3359375,53772.99609375,52474.30859375
26,45935.33984375,0.001,44617.76171875,50222.5,48890.21875
27,45310.578125,0.001,43956.09375,53711.75,52338.75390625
28,44004.28515625,0.001,42609.765625,48003.2109375,46589.96484375
29,40759.37890625,0.001,39330.46484375,45509.7265625,44060.8046875
30,41584.8203125,0.001,40114.3203125,47884.8046875,46393.18359375
31,40173.7265625,0.001,38658.7578125,45901.0859375,44363.125
32,40691.4609375,0.001,39128.81640625,47129.21484375,45542.94140625
33,36889.296875,0.001,35281.65625,50638.80859375,49010.19140625
34,37814.859375,0.001,36159.2109375,46836.0546875,45154.796875
35,35259.43359375,0.001,33558.69140625,49684.0859375,47962.203125
36,36079.015625,0.001,34331.1015625,47697.453125,45921.4453125
37,35202.1640625,0.001,33402.94921875,43873.34375,42046.74609375
38,34455.58984375,0.001,32603.392578125,43674.8046875,41800.26953125
39,30657.359375,0.001,28759.3984375,43478.09375,41553.71484375
40,31080.04296875,0.001,29129.36328125,47779.44140625,45806.5390625
41,31063.9921875,0.001,29066.82421875,41204.05078125,39183.046875
42,29153.1953125,0.001,27109.9453125,41667.08984375,39601.08984375
43,28451.6875,0.001,26363.80078125,41915.81640625,39805.8046875
44,27542.720703125,0.001,25410.279296875,42349.7734375,40194.40625
45,28367.650390625,0.001,26188.9140625,40654.38671875,38439.90234375
46,26053.591796875,0.001,23814.57421875,44049.63671875,41787.171875
47,24506.8203125,0.001,22225.76171875,45585.48046875,43284.0703125
48,23803.427734375,0.001,21483.64453125,41221.31640625,38874.2734375
49,24096.767578125,0.001,21722.466796875,49641.44140625,47240.65625
50,22437.509765625,0.001,20017.14453125,42995.125,40559.1484375
51,21758.017578125,0.001,19304.27734375,59147.53515625,56670.51171875
52,21808.46484375,0.001,19308.708984375,43115.734375,40591.37109375
53,20654.716796875,0.001,18110.150390625,49081.19921875,46519.44140625
54,20088.2109375,0.001,17504.548828125,42009.50390625,39406.0859375
55,19455.265625,0.001,16833.048828125,42838.7265625,40196.484375
56,19293.3203125,0.001,16633.748046875,39538.359375,36861.51953125
57,18587.90625,0.001,15891.9921875,43434.515625,40718.46484375
58,17342.177734375,0.001,14607.9765625,41257.34765625,38507.13671875
59,18553.1796875,0.001,15784.6474609375,45346.36328125,42561.78515625
60,17786.755859375,0.001,14983.5927734375,44688.62890625,41870.29296875
61,17073.421875,0.001,14239.0283203125,42496.48046875,39643.703125
62,17620.251953125,0.001,14747.837890625,43947.171875,41058.625
63,16262.0087890625,0.001,13360.7998046875,41142.9375,38230.2734375
64,15801.28125,0.001,12878.548828125,42207.87109375,39274.546875
65,15009.7216796875,0.001,12061.0498046875,41698.1640625,38738.55078125
66,15155.205078125,0.001,12186.58203125,46466.9296875,43483.4609375
67,14914.708984375,0.001,11913.74609375,41313.16015625,38300.42578125
68,14661.5751953125,0.001,11639.884765625,40508.6015625,37474.3984375
69,13830.65234375,0.001,10787.947265625,41112.2890625,38061.2890625
70,13527.9013671875,0.001,10473.0615234375,42630.32421875,39562.26171875
71,14165.302734375,0.001,11085.888671875,45389.3984375,42299.5234375
72,13278.95703125,0.001,10185.712890625,39274.52734375,36173.36328125
73,12738.7978515625,0.001,9632.1201171875,40688.59765625,37572.328125
74,12950.21875,0.001,9825.837890625,45817.265625,42687.05859375
75,13557.4150390625,0.001,10417.5107421875,42306.3046875,39155.30859375
76,12731.1953125,0.001,9572.865234375,45880.046875,42712.453125
77,12789.4736328125,0.001,9615.9794921875,41950.61328125,38769.42578125
78,12485.3974609375,0.001,9293.5830078125,41981.328125,38779.34375
79,11489.455078125,0.001,8286.98828125,41039.89453125,37836.06640625
80,12436.0224609375,0.001,9230.4365234375,41161.03125,37947.203125
81,12536.7861328125,0.001,9319.3720703125,41087.2734375,37862.41796875
82,12325.82421875,0.001,9097.9970703125,40805.48046875,37573.390625
83,11880.2060546875,0.001,8638.9853515625,45846.76953125,42591.984375
84,11950.240234375,0.001,8690.4892578125,39453.6640625,36186.6484375
85,11550.19921875,0.001,8277.7138671875,40336.046875,37059.15625
86,11581.0625,0.001,8301.1064453125,46610.63671875,43322.9765625
87,12371.80078125,0.001,9068.50390625,41509.3359375,38196.10546875
88,11711.39453125,0.001,8396.0498046875,44313.8515625,40995.203125
89,10962.9345703125,0.001,7645.73828125,46765.69140625,43441.8046875
90,10786.9404296875,0.001,7464.326171875,43163.78125,39843.93359375
91,10837.2314453125,0.001,7515.38134765625,41653.74609375,38330.67578125
92,10623.1953125,0.001,7298.36572265625,41617.9765625,38290.42578125
93,10877.455078125,0.001,7548.76123046875,46784.15625,43449.48046875
94,10205.39453125,0.001,6868.1904296875,39425.265625,36084.5859375
95,10713.8173828125,0.001,7368.4716796875,43000.234375,39650.71484375
96,10826.1650390625,0.001,7477.99560546875,41633.82421875,38281.59375
97,10659.744140625,0.001,7302.22802734375,39669.18359375,36306.46875
98,9836.5009765625,0.001,6477.83984375,40081.359375,36724.8515625
99,10372.2470703125,0.001,7019.97314453125,42165.96875,38807.5234375
100,9744.193359375,0.001,6383.4462890625,42338.8984375,38978.35546875
101,9385.3564453125,0.001,6031.77734375,42430.1953125,39081.2421875
102,9054.3115234375,0.001,5706.978515625,42784.01953125,39440.9609375
103,9529.4609375,0.001,6187.29296875,40455.83203125,37112.16796875
104,9202.8564453125,0.001,5860.63916015625,40902.9296875,37554.1640625
105,9414.568359375,0.001,6064.56396484375,43795.55859375,40446.125
106,9339.5146484375,0.001,5989.48291015625,42926.03515625,39575.12109375
107,9857.8046875,0.001,6505.8662109375,43725.171875,40371.02734375
108,9117.2001953125,0.001,5765.70751953125,40144.99609375,36793.76953125
109,9022.3291015625,0.001,5678.1123046875,42899.34375,39556.265625
110,9090.2822265625,0.001,5747.52001953125,45548.0546875,42206.15625
111,8578.4716796875,0.001,5240.1123046875,44497.53515625,41161.70703125
112,8672.69140625,0.001,5339.61865234375,42144.40625,38813.84765625
113,8698.3076171875,0.001,5370.6748046875,41904.47265625,38580.0
114,8974.4521484375,0.001,5651.23876953125,41996.640625,38674.5390625
115,8706.705078125,0.001,5390.31494140625,42767.44140625,39455.14453125
116,8678.181640625,0.001,5366.244140625,43415.875,40103.5234375
117,8749.6982421875,0.001,5441.0576171875,45969.8203125,42660.453125
118,8506.0146484375,0.001,5193.583984375,45522.80859375,42210.6953125
119,9031.2314453125,0.001,5707.76513671875,42066.78125,38736.83203125
120,8783.5009765625,0.001,5449.9404296875,43116.18359375,39782.43359375
121,8579.7626953125,0.001,5242.27392578125,43717.671875,40378.8984375
122,8407.9560546875,0.001,5069.8544921875,40851.3046875,37517.765625
123,8640.33984375,0.001,5309.7587890625,42089.8359375,38759.12890625
124,8135.7451171875,0.001,4808.13330078125,44524.90625,41203.44921875
125,8567.025390625,0.001,5243.265625,42343.98828125,39018.84375
126,8194.185546875,0.001,4872.39208984375,44191.36328125,40870.4921875
127,8217.849609375,0.001,4896.01025390625,44363.5234375,41045.76171875
128,8224.443359375,0.001,4910.34375,44020.046875,40709.02734375
129,7937.19384765625,0.001,4633.02099609375,43961.44921875,40666.33984375
130,8069.4892578125,0.001,4775.986328125,42516.94140625,39228.26953125
131,8000.658203125,0.001,4718.15673828125,43248.48046875,39967.1015625
132,7893.0751953125,0.001,4611.97705078125,43702.33984375,40425.59765625
133,7648.49072265625,0.001,4373.6611328125,42751.12890625,39480.0390625
134,7568.404296875,0.001,4308.205078125,41469.49609375,38218.5078125
135,7814.61376953125,0.001,4559.82763671875,42983.31640625,39727.93359375
136,7974.22607421875,0.001,4726.70263671875,43479.49609375,40235.94921875
137,7976.7138671875,0.001,4734.2138671875,42307.53515625,39064.48828125
138,7481.20166015625,0.001,4240.673828125,44668.53125,41429.33203125
139,7626.53125,0.001,4390.35302734375,43744.37890625,40511.578125
140,7331.3232421875,0.001,4103.06298828125,41603.140625,38383.63671875
141,7749.19677734375,0.001,4530.20361328125,43615.0703125,40394.94921875
