epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,179279.0625,0.001,178911.484375,160100.796875,159771.734375
1,143063.296875,0.001,142719.15625,146504.4375,146129.03125
2,135254.8125,0.001,134833.140625,124626.1171875,124142.109375
3,114931.3515625,0.001,114388.1328125,93864.328125,93255.15625
4,92274.53125,0.001,91624.2578125,86724.6015625,86042.1328125
5,78137.96875,0.001,77434.03125,73070.625,72349.140625
6,70718.765625,0.001,69988.5625,72906.921875,72170.2265625
7,75433.3515625,0.001,74685.6953125,112252.4375,111500.03125
8,71162.5078125,0.001,70392.78125,91565.3203125,90786.296875
9,65388.8359375,0.001,64598.05078125,69142.875,68346.1953125
10,66726.0859375,0.001,65921.328125,63764.48828125,62947.078125
11,65671.640625,0.001,64846.41015625,78357.4140625,77516.8984375
12,64828.0234375,0.001,63976.703125,69247.6171875,68386.2890625
13,61545.14453125,0.001,60672.53125,65536.5,64651.62109375
14,58622.92578125,0.001,57727.05078125,70925.5078125,70026.421875
15,58584.3984375,0.001,57674.93359375,59375.56640625,58454.578125
16,58607.71484375,0.001,57683.03125,61640.91015625,60706.390625
17,57210.73046875,0.001,56270.5703125,59089.65625,58136.828125
18,57067.17578125,0.001,56103.21484375,70156.5625,69184.1484375
19,56765.328125,0.001,55778.48046875,70903.453125,69910.203125
20,55819.98046875,0.001,54814.3515625,76489.5625,75473.4765625
21,53352.74609375,0.001,52324.38671875,62120.98046875,61080.421875
22,54681.01171875,0.001,53626.984375,72227.3828125,71162.6875
23,54872.4453125,0.001,53791.421875,61509.48046875,60410.0703125
24,54181.171875,0.001,53069.25,66304.546875,65181.82421875
25,52314.90625,0.001,51179.39453125,57639.703125,56492.3203125
26,49575.82421875,0.001,48414.94140625,55731.05078125,54555.58984375
27,50977.80859375,0.001,49789.671875,53364.51171875,52155.046875
28,50109.328125,0.001,48888.33984375,57669.7109375,56432.55078125
29,48248.78125,0.001,46993.046875,83252.75,81984.8125
30,50019.8359375,0.001,48726.48828125,83840.9453125,82533.3984375
31,50230.203125,0.001,48896.890625,73462.4609375,72110.171875
32,47222.80078125,0.001,45852.28515625,62215.48828125,60828.00390625
33,48134.8046875,0.001,46725.5,62478.0390625,61051.6015625
34,46309.796875,0.001,44858.28125,48865.1953125,47386.75390625
35,46286.6640625,0.001,44787.63671875,49838.9140625,48314.91015625
36,44391.0390625,0.001,42839.99609375,51786.59375,50215.6953125
37,43581.4453125,0.001,41983.1953125,48199.05859375,46572.42578125
38,41139.44921875,0.001,39491.1015625,54367.4140625,52691.0234375
39,39857.46484375,0.001,38155.70703125,55295.0390625,53569.53515625
40,39833.484375,0.001,38080.9609375,49726.67578125,47944.84375
41,38544.1015625,0.001,36742.6328125,47743.5,45916.26171875
42,36013.265625,0.001,34164.3046875,44976.2890625,43099.10546875
43,37374.02734375,0.001,35478.43359375,45460.80859375,43539.61328125
44,34880.9296875,0.001,32937.86328125,48184.2109375,46211.6640625
45,34175.83984375,0.001,32178.080078125,43036.53125,41006.4140625
46,33700.640625,0.001,31646.068359375,49383.23828125,47300.64453125
47,31802.369140625,0.001,29697.828125,45377.609375,43249.57421875
48,31635.1484375,0.001,29486.1015625,46826.44921875,44652.0546875
49,31492.759765625,0.001,29288.919921875,56092.3359375,53853.40625
50,29892.9453125,0.001,27624.80078125,46276.8203125,43979.7734375
51,27171.169921875,0.001,24856.544921875,44279.96875,41945.5859375
52,27425.94921875,0.001,25072.115234375,62294.71875,59918.671875
53,27454.890625,0.001,25055.89453125,45604.3359375,43181.37890625
54,25418.9453125,0.001,22976.275390625,43826.703125,41364.24609375
